status,mode,query_selector,final_selector,force_k,stop_disabled,mae,mse,oracle_match_rate,regret_to_full_oracle,average_experts_used,selection_counts,stop_step_distribution,note
ok,forced_exact_k,query_logits,oracle,2,True,0.3392123878002167,0.2960813641548157,0.49429038166999817,0.02106913924217224,2.0,"{""DLinear"": 135, ""ModernTCN"": 364, ""PatchTST"": 0, ""TimesNet"": 111, ""iTransformer"": 3}","{""2"": 613}",
ok,forced_exact_k,query_logits,equal_average,2,True,0.3530707359313965,0.3210422098636627,,0.03492748737335205,2.0,"{""DLinear"": 369, ""ModernTCN"": 613, ""PatchTST"": 0, ""TimesNet"": 241, ""iTransformer"": 3}","{""2"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,query_logits,learned_sparse_mixer,2,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,query_logits,model,3,True,0.3692055940628052,0.34475791454315186,0.19412724673748016,0.05106234550476074,3.0,"{""DLinear"": 598, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 15}","{""3"": 613}",
ok,forced_exact_k,query_logits,oracle,3,True,0.3283400237560272,0.2788589894771576,0.7161501049995422,0.010196775197982788,3.0,"{""DLinear"": 194, ""ModernTCN"": 220, ""PatchTST"": 0, ""TimesNet"": 197, ""iTransformer"": 2}","{""3"": 613}",
ok,forced_exact_k,query_logits,equal_average,3,True,0.34937262535095215,0.3159520626068115,,0.031229376792907715,3.0,"{""DLinear"": 598, ""ModernTCN"": 613, ""PatchTST"": 0, ""TimesNet"": 613, ""iTransformer"": 15}","{""3"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,query_logits,learned_sparse_mixer,3,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,query_logits,model,4,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,4.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""4"": 613}",
ok,forced_exact_k,query_logits,oracle,4,True,0.3201832175254822,0.25975149869918823,0.8580750226974487,0.002039968967437744,4.0,"{""DLinear"": 163, ""ModernTCN"": 200, ""PatchTST"": 0, ""TimesNet"": 155, ""iTransformer"": 95}","{""4"": 613}",
ok,forced_exact_k,query_logits,equal_average,4,True,0.35010042786598206,0.31092873215675354,,0.03195717930793762,4.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 0, ""TimesNet"": 613, ""iTransformer"": 613}","{""4"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,query_logits,learned_sparse_mixer,4,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,query_logits,model,5,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,5.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""5"": 613}",
ok,forced_exact_k,query_logits,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,forced_exact_k,query_logits,equal_average,5,True,0.35006529092788696,0.30973756313323975,,0.03192204236984253,5.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}","{""5"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,query_logits,learned_sparse_mixer,5,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,predicted_error,model,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
