state_index,expert,expert_index,predicted_score,true_negative_mae,true_mae
63,iTransformer,2,-0.43669435381889343,-0.6085742115974426,0.6085742115974426
63,TimesNet,3,0.40088099241256714,-0.654617428779602,0.654617428779602
63,ModernTCN,4,0.05362270027399063,-0.593706488609314,0.593706488609314
65,DLinear,0,1.2880117893218994,-0.7447234392166138,0.7447234392166138
66,PatchTST,1,0.22069108486175537,-0.7285911440849304,0.7285911440849304
67,iTransformer,2,-0.5760266780853271,-0.7681260704994202,0.7681260704994202
68,TimesNet,3,-0.07375602424144745,-0.7963131666183472,0.7963131666183472
69,ModernTCN,4,-0.017643101513385773,-0.7544171214103699,0.7544171214103699
70,DLinear,0,1.5589404106140137,-0.7447234392166138,0.7447234392166138
70,PatchTST,1,0.28705063462257385,-0.7285911440849304,0.7285911440849304
71,DLinear,0,1.4511592388153076,-0.7447234392166138,0.7447234392166138
71,iTransformer,2,-0.2945331633090973,-0.7681260704994202,0.7681260704994202
72,DLinear,0,1.2150704860687256,-0.7447234392166138,0.7447234392166138
72,TimesNet,3,0.2694392204284668,-0.7963131666183472,0.7963131666183472
73,DLinear,0,1.5370445251464844,-0.7447234392166138,0.7447234392166138
73,ModernTCN,4,0.06711632758378983,-0.7544171214103699,0.7544171214103699
74,PatchTST,1,0.2730989456176758,-0.7285911440849304,0.7285911440849304
74,iTransformer,2,-0.5054578185081482,-0.7681260704994202,0.7681260704994202
75,PatchTST,1,0.2650093138217926,-0.7285911440849304,0.7285911440849304
75,TimesNet,3,0.07378412783145905,-0.7963131666183472,0.7963131666183472
76,PatchTST,1,0.3110882043838501,-0.7285911440849304,0.7285911440849304
76,ModernTCN,4,-0.18091833591461182,-0.7544171214103699,0.7544171214103699
77,iTransformer,2,-0.4908424913883209,-0.7681260704994202,0.7681260704994202
77,TimesNet,3,0.11565132439136505,-0.7963131666183472,0.7963131666183472
78,iTransformer,2,-0.42673659324645996,-0.7681260704994202,0.7681260704994202
78,ModernTCN,4,-0.11611487716436386,-0.7544171214103699,0.7544171214103699
79,TimesNet,3,0.2581656575202942,-0.7963131666183472,0.7963131666183472
79,ModernTCN,4,-0.07639314979314804,-0.7544171214103699,0.7544171214103699
80,DLinear,0,1.6426799297332764,-0.7447234392166138,0.7447234392166138
80,PatchTST,1,0.31775981187820435,-0.7285911440849304,0.7285911440849304
80,iTransformer,2,-0.34038177132606506,-0.7681260704994202,0.7681260704994202
81,DLinear,0,1.3711693286895752,-0.7447234392166138,0.7447234392166138
81,PatchTST,1,0.3536377251148224,-0.7285911440849304,0.7285911440849304
81,TimesNet,3,0.31783390045166016,-0.7963131666183472,0.7963131666183472
82,DLinear,0,1.6001317501068115,-0.7447234392166138,0.7447234392166138
82,PatchTST,1,0.3511626124382019,-0.7285911440849304,0.7285911440849304
82,ModernTCN,4,0.049618251621723175,-0.7544171214103699,0.7544171214103699
83,DLinear,0,1.3326724767684937,-0.7447234392166138,0.7447234392166138
83,iTransformer,2,-0.3529937267303467,-0.7681260704994202,0.7681260704994202
83,TimesNet,3,0.28466182947158813,-0.7963131666183472,0.7963131666183472
84,DLinear,0,1.6267509460449219,-0.7447234392166138,0.7447234392166138
84,iTransformer,2,-0.3237610161304474,-0.7681260704994202,0.7681260704994202
84,ModernTCN,4,0.05319637805223465,-0.7544171214103699,0.7544171214103699
85,DLinear,0,1.3793541193008423,-0.7447234392166138,0.7447234392166138
85,TimesNet,3,0.4611450433731079,-0.7963131666183472,0.7963131666183472
85,ModernTCN,4,0.017855055630207062,-0.7544171214103699,0.7544171214103699
86,PatchTST,1,0.302389919757843,-0.7285911440849304,0.7285911440849304
86,iTransformer,2,-0.4289126396179199,-0.7681260704994202,0.7681260704994202
86,TimesNet,3,0.18922118842601776,-0.7963131666183472,0.7963131666183472
87,PatchTST,1,0.3272995948791504,-0.7285911440849304,0.7285911440849304
87,iTransformer,2,-0.4451211094856262,-0.7681260704994202,0.7681260704994202
87,ModernTCN,4,-0.16137975454330444,-0.7544171214103699,0.7544171214103699
88,PatchTST,1,0.28267696499824524,-0.7285911440849304,0.7285911440849304
88,TimesNet,3,0.26243990659713745,-0.7963131666183472,0.7963131666183472
88,ModernTCN,4,-0.10732696205377579,-0.7544171214103699,0.7544171214103699
89,iTransformer,2,-0.42265763878822327,-0.7681260704994202,0.7681260704994202
89,TimesNet,3,0.2840675711631775,-0.7963131666183472,0.7963131666183472
89,ModernTCN,4,-0.09424809366464615,-0.7544171214103699,0.7544171214103699
90,DLinear,0,1.498944878578186,-0.7447234392166138,0.7447234392166138
90,PatchTST,1,0.38358861207962036,-0.7285911440849304,0.7285911440849304
90,iTransformer,2,-0.39614495635032654,-0.7681260704994202,0.7681260704994202
90,TimesNet,3,0.3220084309577942,-0.7963131666183472,0.7963131666183472
91,DLinear,0,1.6890954971313477,-0.7447234392166138,0.7447234392166138
91,PatchTST,1,0.35454854369163513,-0.7285911440849304,0.7285911440849304
91,iTransformer,2,-0.37449246644973755,-0.7681260704994202,0.7681260704994202
91,ModernTCN,4,0.025276996195316315,-0.7544171214103699,0.7544171214103699
